235669	Mwaswero	Mwaswero		-9.60382	33.56827	P	PPL	MW		N	04			0		997	Africa/Blantyre	2011-06-06
235670	Mwasalano	Mwasalano		-9.65	33.68333	P	PPL	MW		N	08			0		630	Africa/Blantyre	2011-03-10
235671	Mwapiwu	Mwapiwu		-9.53333	33.36667	P	PPL	MW		N	04			0		1358	Africa/Blantyre	2011-03-10
235672	Mwamswere	Mwamswere		-9.57042	33.3765	P	PPL	MW		N	04			0		1232	Africa/Blantyre	2011-06-06
235673	Mwakayera	Mwakayera		-9.70857	33.57396	P	PPL	MW		N	04			0		1276	Africa/Blantyre	2011-06-06
235674	Mwakawenge	Mwakawenge	Mwakawange,Mwakawenge	-9.63467	33.3011	P	PPL	MW		N	04			0		1264	Africa/Blantyre	2012-01-18
235675	Muteka	Muteka		-9.7	33.6	H	STM	MW		N	04			0		1153	Africa/Blantyre	2011-03-10
235676	Mutanga	Mutanga		-9.7502	33.45723	P	PPL	MW		N	04			0		1603	Africa/Blantyre	2011-06-06
235677	Musanga	Musanga		-9.66667	33.48333	H	STM	MW		N	04			0		1394	Africa/Blantyre	2011-03-10
235678	Mungombwe	Mungombwe		-9.7	33.33333	P	PPL	MW		N	04			0		1215	Africa/Blantyre	2011-03-10
235679	Mulukwi	Mulukwi		-9.64813	33.08528	P	PPL	MW		N	04			0		1387	Africa/Blantyre	2011-06-06
235680	Mugofi Hill	Mugofi Hill		-9.61667	33.55	T	MT	MW		N	04			0		1305	Africa/Blantyre	2011-03-10
235681	Mugesse Hill	Mugesse Hill	Mugensse,Mugesse Hill	-9.65226	33.54518	T	MT	MW		N	04			0		1859	Africa/Blantyre	2012-01-18
235682	Mudulasi	Mudulasi		-9.81667	33.6	T	HLL	MW		N	04			0		914	Africa/Blantyre	2011-03-10
235683	Mpwama	Mpwama		-9.47152	33.05975	H	STM	MW		N	04			0		1498	Africa/Blantyre	2011-06-06
235684	Misuku Hills	Misuku Hills		-9.66667	33.55	T	HLLS	MW		N	04			0		1591	Africa/Blantyre	2011-03-10
235685	Misuku	Misuku	Misiku,Misuko Hill,Misuku	-9.68394	33.45797	T	MT	MW		N	04			0		1911	Africa/Blantyre	2012-01-18
235686	Misuku	Misuku	Misuko,Misuku	-9.66667	33.52851	P	PPL	MW		N	04			0		1413	Africa/Blantyre	2012-01-18
235687	Mbuwu	Mbuwu		-9.98333	33.55	H	STM	MW		N	08			0		1361	Africa/Blantyre	2011-03-10
235688	Mbora	Mbora		-9.6	33.38333	H	STM	MW		N	04			0		1233	Africa/Blantyre	2011-03-10
235689	Mbalizi	Mbalizi	Mbalise River,Mbalizi,Mpalisi	-9.89842	33.54587	H	STM	MW		00				0		1081	Africa/Blantyre	2012-01-18
235690	Matipa	Matipa		-9.65	33.43333	T	HLL	MW		N	04			0		1889	Africa/Blantyre	2011-03-10
235691	Mariku	Mariku		-9.53333	33.28333	P	PPL	MW		N	04			0		1302	Africa/Blantyre	2011-03-10
235692	Mantawa Hill	Mantawa Hill		-9.96667	33.51667	T	MT	MW		N	08			0		1552	Africa/Blantyre	2011-03-10
235693	Manolo	Manolo	Manolo,Minolo Stream	-9.61965	33.62656	H	STM	MW		N	04			0		849	Africa/Blantyre	2012-01-18
235694	Mambukiro River	Mambukiro River	Makumbukiro River,Mambchira,Mambukiro River	-9.65	33.36667	H	STM	MW		N	04			0		1187	Africa/Blantyre	2012-01-18
235695	Makongwa Hill	Makongwa Hill		-9.85	33.6	T	MT	MW		N	04			0		1074	Africa/Blantyre	2011-03-10
235696	Makikomi	Makikomi		-9.61667	33.51667	P	PPL	MW		N	04			0		1169	Africa/Blantyre	2011-03-10
235697	Makeye River	Makeye River	Makeye River,Makeye Stream	-9.65824	33.68679	H	STM	MW		00				0		544	Africa/Blantyre	2012-01-18
235698	Maconga	Maconga	Maconga,Maronga	-9.63333	33.45	P	PPL	MW		N	04			0		1599	Africa/Blantyre	2012-01-18
235699	Luwitika	Luwitika		-9.55	33.38333	P	PPL	MW		N	04			0		1326	Africa/Blantyre	2011-03-10
235700	Luwawa	Luwawa		-9.96667	33.41667	H	STM	MW		N	04			0		1436	Africa/Blantyre	2011-03-10
235701	Lukumpelo	Lukumpelo		-9.71667	33.36667	H	STM	MW		N	04			0		1235	Africa/Blantyre	2011-03-10
235702	Lufilya	Lufilya	Lufilya,Lufira River,Lupira River,River Rufira	-9.80496	33.90676	H	STM	MW		00				0		479	Africa/Blantyre	2012-01-18
235703	Kyungu River	Kyungu River		-9.65522	33.85061	H	STM	MW		N	08			0		496	Africa/Blantyre	2011-06-06
235704	Kyungu	Kyungu		-9.64143	33.83447	H	STM	MW		N	08			0		498	Africa/Blantyre	2011-06-06
235705	Kiwanga Stream	Kiwanga Stream		-9.81667	33.78333	H	STM	MW		N	08			0		751	Africa/Blantyre	2011-03-10
235706	Kiwanga Hill	Kiwanga Hill		-9.41667	33	T	MT	MW		N	04			0		1644	Africa/Blantyre	2011-03-10
235707	Kaumbe Hill	Kaumbe Hill	Kaumbe Hill,Kawumbe Hill	-9.96667	33.38333	T	MT	MW		N	04			0		1608	Africa/Blantyre	2012-01-18
235708	Katumbi	Katumbi		-9.73333	33.86667	P	PPL	MW		N	08			0		526	Africa/Blantyre	2011-03-10
235710	Katalolo	Katalolo		-9.95	33.95	H	STM	MW		N	08			0		476	Africa/Blantyre	2011-03-10
235711	Kaseya River	Kaseya River	Kasaya,Kaseya River	-9.59026	33.42118	H	STM	MW		N	04			0		1135	Africa/Blantyre	2012-01-18
235712	Kaseya	Kaseya		-9.76667	33.38333	H	STM	MW		N	04			0		1254	Africa/Blantyre	2011-03-10
235713	Kasambwe	Kasambwe		-9.53938	33.12889	H	STM	MW		N	04			0		1303	Africa/Blantyre	2011-06-06
235714	Karonga Airport	Karonga Airport	FWKA,KGJ,Karonga,Karonga Airport	-9.95357	33.89302	S	AIRP	MW		00				0	537	536	Africa/Blantyre	2011-03-28
235715	Karonga	Karonga	KGJ,Karonga,Каронга	-9.93333	33.93333	P	PPLA2	MW		N	08			34207		486	Africa/Blantyre	2011-04-25
235716	Kaporo Stream	Kaporo Stream		-9.76667	33.95	H	STM	MW		C	09			0		476	Africa/Blantyre	2013-02-08
235717	Kaporo	Kaporo		-9.73509	33.86382	P	PPL	MW		N	08			0		548	Africa/Blantyre	2011-06-06
235718	Kapoka	Kapoka		-9.75	33.53333	H	STM	MW		N	04			0		1241	Africa/Blantyre	2011-03-10
235719	Kapembe	Kapembe		-9.64444	33.70413	T	HLL	MW		N	08			0		842	Africa/Blantyre	2011-06-06
235720	Kaoma River	Kaoma River	Kaoma River,Kaomo	-9.51005	33.21175	H	STM	MW		N	04			0		1264	Africa/Blantyre	2012-01-18
