,ClubName,VillageName,TA,District,East,South
212,Solowa,Solowa,Kaphuka,Dedza,33.1055555555556,-14.2219444444444
213,SUNGA,SUNGA,KAPHUKA,Dedza,33.0752777777778,-14.1727777777778
214,Sunga,Sunga,Tambala,Dedza,14.1636666666667,34.064
215,SUZI,SUZI,KAPHUKA,Dedza,33.0766666666667,-14.2008333333333
216,Suzi,Suzi,Tambala,Dedza,14.1953333333333,34.0723333333333
217,Tambwandila,Tambwandila,Tambala,Dedza,33.2208333333333,-14.1663888888889
218,Tangaze,Tangaze,Kaphuka,Dedza,33.1811111111111,-14.17
219,Tembwe Mpango,Tembwe Mpango,Kasumbu,Dedza,33.3225,-14.1805555555556
220,Thesi,Thesi,Chauma,Dedza,33.1625,-14.1238888888889
221,Tsayo,Tsayo,Tambala,Dedza,14.1606666666667,34.064
222,TSOKONOMBWE,TSOKONOMBWE,KAPHUKA,Dedza,33.0763888888889,-14.2033333333333
223,Tsokonombwe,Tsokonombwe,Tambala,Dedza,14.1606666666667,34.0658333333333
224,TSOYO,TSOYO,KAPHUKA,Dedza,33.0736111111111,-14.1677777777778
225,TUMBWE,TUMBWE,KAPHUKA,Dedza,33.0927777777778,-14.1697222222222
226,Tunike,Tunike,Tambala,Dedza,14.1691666666667,34.0823333333333
227,Undi,Undi,Kaphuka,Dedza,33.1694444444444,-14.2102777777778
228,Ungwe,Ungwe,Kaphuka,Dedza,33.08,-14.2147222222222
229,Yendala,Yendala,Kaphuka,Dedza,33.095,-14.2283333333333
230,Buluwayo,Buluwayo,Chakhaza,Dowa,33.6988888888889,-13.2652777777778
231,Chadza,Chadza,Mkukula,Dowa,33.8216666666667,-13.7716666666667
232,Chagwa,Chagwa,Mkukula,Dowa,33.0408333333333,-13.7733333333333
233,Chakhaza Two,Chakhaza Two,Chakhaza,Dowa,33.6472222222222,-13.4527777777778
234,Chakwawa,Chakwawa,Mkukula,Dowa,33.05,-13.7727777777778
235,Chakwera,Chakwera,Kayembe,Dowa,33.6855555555555,-13.6863888888889
236,Chalemera,Chalemera,Dzoole,Dowa,33.6786111111111,-13.4755555555556
237,Chambala,Chambala,Kayembe,Dowa,33.6738888888889,-13.6875
238,Chapalapatala,Chapalapatala,Chakhaza,Dowa,33.7144444444444,-13.51
239,Chibwaya,Chibwaya,Chakhaza,Dowa,33.5883333333333,-13.47
240,Chigwe,Chigwe,Chakhaza,Dowa,33.6980555555556,-13.2366666666667
241,Chikamangala,Chikamangala,Chakhaza,Dowa,33.6822222222222,-13.4425
242,Chikanam'bula,Chikanam'bula,Chakhaza,Dowa,33.6027777777778,-13.4633333333333
243,Chakutsogolo,Chikankheni,Chakhaza,Dowa,33.7158333333333,-13.4125
244,Chikhosi,Chikhosi,Mkukula,Dowa,33.8969444444444,-13.745
245,Chilando,Chilando,Chiwere,Dowa,33.2625,-13.7597222222222
246,Chilawo one,Chilawo one,Chakhaza,Dowa,33.62,-13.4788888888889
247,Chilengu,Chilengu,Kayembe,Dowa,33.6594444444444,-13.6955555555556
248,Chimkoka,Chimkoka,Chakhaza,Dowa,33.6647222222222,-13.3105555555556
249,Chimphiri,Chimphiri,Chiwere,Dowa,33.0972222222222,-13.7133333333333
250,Ching'oma,Ching'oma,Chakhaza,Dowa,33.7044444444444,-13.4277777777778
251,Chipuni,Chipuni,Chakhaza,Dowa,33.5844444444444,-13.5147222222222
252,Chisamba,Chisamba,Kayembe,Dowa,33.7019444444444,-13.6963888888889
253,Chisani,Chisani,Kayembe,Dowa,33.5586111111111,-13.6880555555556
254,Chisimbwiti,Chisimbwiti,Dzoole,Dowa,33.7044444444444,-13.6838888888889
255,Chiwala,Chiwala,Kayembe,Dowa,33.5605555555556,-13.7161111111111
256,Chiwaula,Chiwaula,Chiwere,Dowa,33.2683333333333,-13.7544444444444
257,Chiwayu,Chiwayu,Chakhaza,Dowa,33.7016666666667,-13.2447222222222
258,Chulu,Chulu,Kayembe,Dowa,33.6725,-13.6938888888889
259,Nkhazo,Dambalika,Chakhaza,Dowa,33.6966666666667,-13.2163888888889
260,Dambalika two,Dambalika two,Chakhaza,Dowa,33.6988888888889,-13.2638888888889
261,Fandani,Fandani,Mkukula,Dowa,33.0236111111111,-13.7744444444444
262,Fusani,Fusani,Mkukula,Dowa,33.8475,-13.7752777777778
263,Januwale,Januwale,Chakhaza,Dowa,33.5869444444444,-13.5033333333333
264,Msekantchembere,Januwale,Chakhaza,Dowa,33.6811111111111,-13.4325
265,Kakusa,Kakusa,Chakhaza,Dowa,33.6972222222222,-13.3394444444444
266,Kalemba,Kalemba,Mkukula,Dowa,33.8822222222222,-13.7491666666667
267,Kalisha,Kalisha,Mkukula,Dowa,33.8925,-13.7566666666667
268,Kaliza,Kaliza,Mkukula,Dowa,34.0002777777778,-13.7730555555556
269,Kamanya,Kamanya,Chakhaza,Dowa,33.6608333333333,-13.3372222222222
270,Kambala kapuma,Kambala kapuma,Kayembe,Dowa,33.5047222222222,-13.6961111111111
271,Kamsepa,Kamsepa,Dzoole,Dowa,33.7033333333333,-13.6830555555556
272,Kandiwo,Kandiwo,Kayembe,Dowa,33.5572222222222,-13.6758333333333
273,Kangulu,Kangulu,Kayembe,Dowa,33.5225,-13.6930555555556
274,KantchereTandwe,KantchereTandwe,Kayembe,Dowa,33.5383333333333,-13.6886111111111
275,Kantola,Kantola,Chakhaza,Dowa,33.6972222222222,-13.3469444444444
276,Kanyemba,Kanyemba,Chiwere,Dowa,33.2586111111111,-13.7511111111111
277,Kasolo,Kasolo,Kayembe,Dowa,33.6666666666667,-13.6830555555556
278,Katiyi,Katiyi,Chakhaza,Dowa,33.5875,-13.5027777777778
279,Katiyi Two,Katiyi,Chakhaza,Dowa,33.5869444444444,-13.5033333333333
280,Katsukunya,Katsukunya,Dzoole,Dowa,33.7147222222222,-13.6741666666667
281,Kaudzu,Kaudzu,Dzoole,Dowa,33.6794444444444,-13.4694444444444
282,Kawale,Kawale,Kayembe,Dowa,33.5983333333333,-13.6744444444444
283,Kawamba,Kawamba,Chakhaza,Dowa,33.7125,-13.5105555555556
284,Kawaye,Kawaye,Chakhaza,Dowa,33.6652777777778,-13.3541666666667
285,Khombek,Khombek,Kayembe,Dowa,33.5944444444444,-13.6688888888889
286,Khudzu,Khudzu,Mkukula,Dowa,33.0269444444444,-13.8041666666667
287,Khwisa,Khwisa,Chiwere,Dowa,33.08,-13.7244444444444
288,Lavu,Lavu,Chiwere,Dowa,33.1141666666667,-13.7216666666667
289,Madziada Bowe,Madziada,Chakhaza,Dowa,33.6977777777778,-13.2708333333333
290,Madziada three,Madziada three,Chakhaza,Dowa,33.6752777777778,-13.3697222222222
291,Mafolera,Mafolera,Kayembe,Dowa,33.6836111111111,-13.6925
292,Mailosi,Mailosi,Chakhaza,Dowa,33.5347222222222,-13.4816666666667
293,Makope,Makope,Chiwere,Dowa,33.2522222222222,-13.7772222222222
294,Makuluni,Makuluni,Kayembe,Dowa,33.5125,-13.7025
295,Mandala,Mandala,Chakhaza,Dowa,33.6775,-13.4355555555556
296,Mantchichi WG,Mantchichi,Dzoole,Dowa,33.6866666666667,-13.4888888888889
297,Mbachundu,Mbachundu,Kayembe,Dowa,33.6836111111111,-13.6925
298,Mbedza,Mbedza,Mkukula,Dowa,33.9863888888889,-13.7902777777778
299,Mbende,Mbende,Chakhaza,Dowa,33.6991666666667,-13.2366666666667
300,Mchilamaliro,Mchilamaliro,Dzoole,Dowa,33.7069444444444,-13.6861111111111
301,M'dambwe,M'dambwe,Chakhaza,Dowa,33.5666666666667,-13.4555555555556
302,Mdyapasi,Mdyapasi,Chakhaza,Dowa,33.6836111111111,-13.4244444444444
303,Mgodoboka,Mgodoboka,Kayembe,Dowa,33.6863888888889,-13.6927777777778
304,M'gombe,M'gombe,Mkukula,Dowa,33.8569444444444,-13.7702777777778
305,Mgulula,Mgulula,Mkukula,Dowa,33.8802777777778,-13.7530555555556
306,Mkoche Mzeweza,Mkoche Mzeweza,Chiwere,Dowa,33.2666666666667,-13.7527777777778
307,Mkoche One,Mkoche One,Chiwere,Dowa,33.2602777777778,-13.7502777777778
308,Mkotamo,Mkotamo,Chakhaza,Dowa,33.7108333333333,-13.3311111111111
309,Mkumbwe,Mkumbwe,Kayembe,Dowa,33.6844444444444,-13.6905555555556
310,Mkumphira,Mkumphira,Mkukula,Dowa,33.8527777777778,-13.7591666666667
311,Mkwinda One,Mkwinda One,Dzoole,Dowa,33.6405555555556,-13.6691666666667
312,Mkwinda Two,Mkwinda Two,Kayembe,Dowa,33.6755555555556,-13.69
313,Mlangali,Mlangali,Chakhaza,Dowa,33.5638888888889,-13.4405555555556
314,Mlesha,Mlesha,Chiwere,Dowa,33.2561111111111,-13.7791666666667
315,Mlungamanja,Mlungamanja,Chiwere,Dowa,33.2688888888889,-13.7852777777778
316,Mndazi,Mndazi,Chakhaza,Dowa,33.7247222222222,-13.3447222222222
317,Mnjeza,Mnjeza,Dzoole,Dowa,33.7097222222222,-13.4963888888889
318,Mombo Kaligondo,Mombo Kaligondo,Kayembe,Dowa,33.6797222222222,-13.685
319,Mphamba,Mphamba,Chakhaza,Dowa,33.6947222222222,-13.3241666666667
320,Mtambo,Mtambo,Dzoole,Dowa,33.6836111111111,-13.4869444444444
321,Mtavu,Mtavu,Kayembe,Dowa,33.6569444444444,-13.6930555555556
322,Mtenje Two,Mtenje,Chakhaza,Dowa,33.5869444444444,-13.4783333333333
323,Mwancheka,Mwancheka,Dzoole,Dowa,33.6830555555556,-13.4816666666667
324,Mwangala,Mwangala,Chakhaza,Dowa,33.68,-13.3588888888889
325,Mwanza Dawe,Mwanza Dawe,Kayembe,Dowa,33.5027777777778,-13.6977777777778
326,Namoni,Namoni,Chiwere,Dowa,33.0997222222222,-13.6841666666667
327,Nasungwi,Nasungwi,Chiwere,Dowa,33.1133333333333,-13.6841666666667
328,Nauchi,Nauchi,Chakhaza,Dowa,33.5672222222222,-13.4397222222222
329,Ndakondwa,Ndakondwa,Chakhaza,Dowa,33.6466666666667,-13.4480555555556
330,Njala,Njala,Chiwere,Dowa,33.2602777777778,-13.7691666666667
331,Nkhwazi,Nkhwazi,Chakhaza,Dowa,33.6313888888889,-13.3541666666667
332,Samuele,Samuele,Mkukula,Dowa,33.0005555555556,-13.7730555555556
333,Sandulizeni,Sandulizeni,Kayembe,Dowa,33.5119444444444,-13.7002777777778
334,Simakuni,Simakuni,Mkukula,Dowa,33.0005555555556,-13.7841666666667
335,Tembo,Tembo,Mkukula,Dowa,33.8725,-13.7702777777778
336,Thyolera,Thyolera,Kayembe,Dowa,33.6847222222222,-13.69
337,Tsankanga,Tsankanga,Chakhaza,Dowa,33.5897222222222,-13.4747222222222
338,Vinthenga,Vinthenga,Dzoole,Dowa,33.6738888888889,-13.4644444444444
339,Yobe,Yobe,Chakhaza,Dowa,33.5936111111111,-13.5058333333333
340,Zangala,Zangala,Chiwere,Dowa,33.0891666666667,-13.7261111111111
341,Zingale,Zingale,Chakhaza,Dowa,33.5641666666667,-13.4397222222222
342,Bowa DW,Bowa DW,Chakhaza,Dowa West,33.7041666666667,-13.3369444444444
343,Chadikac,Chadikac,Chakhaza,Dowa West,33.615,-13.47
344,Chadzunda,Chadzunda,Kayembe,Dowa West,33.5605555555556,-13.7161111111111
345,Chakhaza One,Chakhaza One,Chakhaza,Dowa West,33.6444444444444,-13.4452777777778
346,Chakuwawa,Chakuwawa,Dzoole,Dowa West,33.7111111111111,-13.6825
347,Chandiwo,Chandiwo,Chakhaza,Dowa West,33.6188888888889,-13.4513888888889
348,Chapita,Chapita,Kayembe,Dowa West,33.5594444444444,-13.7061111111111
349,Chatsunda,Chatsunda,Chakhaza,Dowa West,33.6444444444444,-13.4452777777778
350,Chidangwe,Chidangwe,Kayembe,Dowa West,33.5691666666667,-13.6755555555556
351,Chidekwende,Chidekwende,Chakhaza,Dowa West,33.7033333333333,-13.3447222222222
352,Chikumika,Chikumika,Kayembe,Dowa West,33.5411111111111,-13.7180555555556
353,Chilakalaka,Chilakalaka,Dzoole,Dowa West,33.7291666666667,-13.6383333333333
354,Chilunjika,Chilunjika,Dzoole,Dowa West,33.71,-13.6833333333333
355,Chimbuli,Chimbuli,Chakhaza,Dowa West,33.6802777777778,-13.35
356,Chimphapa,Chimphapa,Chakhaza,Dowa West,33.64,-13.4355555555556
357,Chimphwemphwa,Chimphwemphwa,Kayembe,Dowa West,33.6097222222222,-13.6625
358,Chingalande,Chingalande,Kayembe,Dowa West,33.5058333333333,-13.7152777777778
359,Chinomwe,Chinomwe,Kayembe,Dowa West,33.5361111111111,-13.6458333333333
360,Chipapi,Chipapi,Chakhaza,Dowa West,33.5455555555556,-13.4741666666667
361,Chiponda,Chiponda,Dzoole,Dowa West,33.6291666666667,-13.6630555555556
362,Chisinga,Chisinga,Dzoole,Dowa West,33.7105555555556,-13.4963888888889
363,Chitanda,Chitanda,Chakhaza,Dowa West,33.6538888888889,-13.3833333333333
364,Chizaichi,Chizaichi,Chakhaza,Dowa West,33.6597222222222,-13.4438888888889
365,Dambalika one,Dambalika one,Chakhaza,Dowa West,33.6991666666667,-13.2202777777778
366,Elisa,Elisa,Kayembe,Dowa West,33.5391666666667,-13.6955555555556
367,Fungwe Two,Fungwe Two,Kayembe,Dowa West,33.5486111111111,-13.6227777777778
368,Joel,Joel,Chakhaza,Dowa West,33.6444444444444,-13.3930555555556
369,Jolofesi,Jolofesi,Chakhaza,Dowa West,33.6183333333333,-13.4486111111111
370,Kalichero,Kalichero,Dzoole,Dowa West,33.7347222222222,-13.6308333333333
371,Kalimbira,Kalimbira,Chakhaza,Dowa West,33.6191666666667,-13.4641666666667
372,Kalombo,Kalombo,Kayembe,Dowa West,33.5375,-13.7208333333333
